"iso3","month","access","percapita_nets","loess_predicted_access"
"SEN",12,0.593899605495071,0.324516626466203,0.531815819717263
"RWA",7,0.518701894060298,0.325563309938171,0.533029490297105
"TZA",5,0.528159946743594,0.325894543078583,0.533412013132216
"SEN",11,0.595707397199317,0.32663831411217,0.534268307978571
"TZA",4,0.528361834675355,0.326841166799459,0.534501226026357
"CIV",3,0.57706947009038,0.326878484773712,0.53454404629282
"TZA",3,0.528917329770631,0.327876296945003,0.535685730463208
"TZA",2,0.528666262224634,0.328041158162354,0.53587377036528
"KEN",5,0.507591944904895,0.328293140333995,0.536160862381112
"SEN",10,0.597349858358139,0.328556097237033,0.536460053112319
"TZA",1,0.529287737459466,0.328799233415526,0.53673632808531
"MRT",8,0.568103730385488,0.329281578631081,0.537283396959665
"GNB",1,0.53533520144666,0.329439272762618,0.537461961664977
"GHA",4,0.55184850352545,0.329907543813425,0.537991381524051
"CIV",2,0.58442696921717,0.331588211577692,0.539881726314286
"SDN",1,0.532527027561076,0.332714912271925,0.541140898576126
"SDN",2,0.532886740010812,0.333530582625756,0.542048684230933
"SDN",3,0.531411822661833,0.334258030834707,0.542855740893714
"SDN",4,0.531068226856155,0.335097459840152,0.543784198247192
"SDN",5,0.5323650263498,0.336594629897914,0.54543311443191
"CIV",1,0.592132345610421,0.33769538856119,0.546640142288032
"KEN",6,0.515869689483335,0.337815336077943,0.546771416967804
"SDN",6,0.535223924305709,0.33816958698538,0.547158843615163
"ERI",4,0.466407603444756,0.338518547828903,0.547540088503706
"ZMB",3,0.580864569177054,0.339427416733674,0.548531280838927
"SDN",7,0.539555166452977,0.340779496882074,0.550001493261571
"RWA",8,0.529570146497084,0.341116286196141,0.550366970016252
"MOZ",1,0.629093977003293,0.341138769067361,0.550391358121398
"SEN",9,0.607560106682301,0.342266142324249,0.551612777417441
"SDN",8,0.543703838873529,0.343661237405578,0.553120625503179
"TCD",3,0.530393732381418,0.345806185613016,0.555432754056855
"KEN",7,0.522505460301863,0.345997917777561,0.555639143437683
"SDN",12,0.547145433439134,0.346154582002804,0.555807755470863
"SDN",11,0.546019623658647,0.346175335085445,0.55583008939662
"SDN",9,0.5458757927544,0.346400499492523,0.556072378432995
"SDN",10,0.545770230523364,0.346571196780181,0.556256026248983
"SSD",2,0.549550926596462,0.346980732091998,0.556696529895548
"GHA",3,0.572094108569436,0.350707744852585,0.560701814632846
"MWI",11,0.584719760137309,0.352210413667043,0.562316925638212
"MRT",9,0.592878014779788,0.352573388406115,0.562707258665946
"MWI",10,0.58515632816308,0.353094581805553,0.563267921236955
"ERI",5,0.479420902187626,0.354026541691115,0.564271116732333
"MOZ",2,0.64077099458768,0.354478719743147,0.564758217981694
"KEN",8,0.528643376452652,0.354608226430706,0.564897775573867
"MWI",12,0.587839197971136,0.354827271829366,0.565133873078851
"ZMB",4,0.601877006177945,0.356558776180172,0.56700280540282
"RWA",9,0.541300323830232,0.357346895443769,0.567855279185608
"MWI",9,0.599127873183973,0.359885044616919,0.570571889542456
"MRT",12,0.603618701033148,0.361437647029892,0.572204211433035
"MRT",11,0.60441628270751,0.362993380785576,0.573818416397749
"MRT",10,0.60307363161344,0.363217420865319,0.574049160735821
"KEN",9,0.534796379302683,0.36350963304276,0.574349479484464
"SEN",8,0.62227053517558,0.365140059027491,0.57601213489673
"RWA",10,0.547686677910616,0.366135055727401,0.577016247260606
"MOZ",3,0.652270568918112,0.366550496262229,0.577433192724146
"RWA",11,0.548751110068622,0.367333402002556,0.57821532627489
"RWA",12,0.5489914033815,0.367490611614725,0.578371819830093
"KEN",10,0.539277470405722,0.368547877422713,0.579419491070635
"GNB",2,0.567580190367404,0.368987299357352,0.579852517789397
"KEN",11,0.541317026136929,0.369464466315182,0.58032117112526
"KEN",12,0.541471017941811,0.369704578040452,0.580556388272337
"ZMB",5,0.616463325908634,0.370035439432783,0.580879842874264
"ERI",6,0.493535725658992,0.370314675531653,0.581152235971585
"GHA",2,0.591485218132032,0.37113093593614,0.581945433285111
"MWI",8,0.622511846030094,0.371891719381554,0.582680698281362
"BFA",12,0.597867144639852,0.374817709170402,0.585474171880751
"BFA",11,0.598492891066417,0.376010233046879,0.586597925132522
"CAF",12,0.538114312439515,0.37716870385358,0.587681935072609
"BFA",10,0.600187812964925,0.377506320837846,0.587996482454989
"MOZ",4,0.662398752612611,0.377839714930634,0.588306504218911
"CAF",11,0.537430687477724,0.378076052551607,0.588525922216329
"CAF",10,0.536110581126977,0.378483818664846,0.588903820130058
"SSD",3,0.581105309152271,0.379674642443022,0.590002648727871
"CAF",9,0.535990169739673,0.380145691148583,0.590435406047056
"COM",1,0.586985442767867,0.382798147332588,0.59285344611824
"ZMB",6,0.630970675825396,0.383492472620838,0.593481464749277
"CAF",8,0.538898663172172,0.383822227916194,0.593779056523193
"TCD",4,0.569455418310614,0.384214730868642,0.594132725968546
"MWI",7,0.64442577229782,0.384324432633286,0.594231468908351
"ERI",7,0.505846560182096,0.384936844728624,0.594781877467871
"MOZ",5,0.668934896799002,0.38585565233401,0.595605119208331
"BFA",9,0.608486502085229,0.387528236796281,0.597096421549114
"CAF",7,0.541720733859064,0.387543343315478,0.597109850186631
"SEN",7,0.63767084791449,0.388009665399567,0.597524038513741
"CAF",6,0.54499374811814,0.391801245613256,0.600869879465548
"UGA",1,0.662196504140909,0.392858956590432,0.601797313236725
"GHA",1,0.611838366208841,0.393354683187139,0.602231243372142
"MOZ",6,0.675482348091612,0.393946166161207,0.602748427575478
"CAF",5,0.547470235522229,0.395834411612323,0.604395880574756
"ZMB",7,0.645138255257318,0.39845566520192,0.606676006850722
"ERI",8,0.516964732475766,0.39930489932383,0.607413596621115
"CAF",4,0.549737795029211,0.399342874305105,0.607446570736178
"MWI",6,0.666437419960772,0.400536600775384,0.608482839770215
"MOZ",7,0.681854239640378,0.402667310139257,0.610332141141647
"SLE",1,0.597460699897312,0.403014734695138,0.610633753919439
"BFA",8,0.619713783313008,0.403627234733072,0.611165606452582
"CAF",3,0.553818024377743,0.404192788608217,0.611656864867991
"GNB",3,0.599774229855431,0.407201671602534,0.614274900132652
"SEN",6,0.649734348586002,0.409582160845106,0.616354271657338
"CAF",2,0.559608901782458,0.409984819276698,0.616706944273636
"SSD",4,0.611884206971917,0.412901700450876,0.619271959938458
"MOZ",8,0.68892492853997,0.413075961981127,0.619425839213196
"ERI",9,0.527674736851628,0.414363501022008,0.620565320959131
"CAF",1,0.565135880187706,0.416221419304705,0.622218190981818
"ZMB",8,0.660031005814229,0.416619535287775,0.622573808380309
"TCD",5,0.596544870619918,0.418212201249516,0.624001991084849
"BFA",7,0.630719247492975,0.419485463604284,0.625150565117569
"MWI",5,0.689165776474744,0.420371268202885,0.62594930185041
"ERI",12,0.534307893027846,0.421025496248335,0.626535988701724
"ERI",11,0.533756010718945,0.421415332167001,0.626884289098856
"ERI",10,0.533352177076315,0.421800840906322,0.627227785754438
"COM",2,0.618414282297015,0.423081352349774,0.628362154547636
"MOZ",9,0.696002532210274,0.424284476410054,0.629418921257387
"MOZ",11,0.697174069783071,0.429341428521754,0.633770157690512
"MOZ",10,0.698095772493315,0.429575882863124,0.633968523330436
"MOZ",12,0.699576165279651,0.431161769222148,0.635302898973784
